"Metric","Mean","SD"
"Runtime (seconds)",3.31215636730194,0.440674833802929
"Profile accuracy",0.94476,0.005603245812595
"Q-matrix accuracy (0.05)",0.97984126984127,0.0202866479120074
"Q-matrix false positive rate (0.05)",0.0201587301587302,0.0202866479120074
"Q-matrix false negative rate (0.05)",0,0
"Q-matrix accuracy (0.01)",0.991746031746032,0.0120400098871858
"Q-matrix false positive rate (0.01)",0.00825396825396825,0.0120400098871858
"Q-matrix false negative rate (0.01)",0,0
"Beta RMSE",0.140222701886181,0.0189499120032762
"Pii RMSE",0.0135684843729226,0.00137101088789523
"Tau RMSE",0.0283596635761107,0.00227224521124342
