"Metric","Mean","SD"
"Runtime (seconds)",3.46373710393906,0.434774911185169
"Profile accuracy",0.981263333333333,0.102410666170348
"Q-matrix accuracy (0.05)",0.973174603174603,0.0379999208377665
"Q-matrix false positive rate (0.05)",0.0241269841269841,0.0277673541449513
"Q-matrix false negative rate (0.05)",0.0026984126984127,0.0205607873949791
"Q-matrix accuracy (0.01)",0.984285714285714,0.0388477202880585
"Q-matrix false positive rate (0.01)",0.0128571428571429,0.0259886745431877
"Q-matrix false negative rate (0.01)",0.00285714285714286,0.0212096669860584
"Beta RMSE",0.204323441443527,0.319957452664239
"Pii RMSE",0.0131446628276834,0.01056345168626
"Tau RMSE",0.017283150088202,0.00478413687340157
