"Metric","Mean","SD"
"Runtime (seconds)",5.2962337064743,0.549181507830215
"Profile accuracy",0.779156,0.0748948384891992
"Q-matrix accuracy (0.05)",0.946666666666667,0.0234807751436532
"Q-matrix false positive rate (0.05)",0.052,0.0211257259353684
"Q-matrix false negative rate (0.05)",0.00133333333333333,0.0133333333333333
"Q-matrix accuracy (0.01)",0.976416666666667,0.0185416311996029
"Q-matrix false positive rate (0.01)",0.02225,0.0134556156109729
"Q-matrix false negative rate (0.01)",0.00133333333333333,0.0133333333333333
"Beta RMSE",0.0868082479942349,0.0703655575691124
"Pii RMSE",0.00927688182549487,0.00496709913138502
"Tau RMSE",0.0207001778253121,0.00124387061057684
